hgnc	Prediction
LIAS	Mitochondrion
LIFR	Cell_membrane
LIG1	Nucleus
LIG4	Cytoplasm
LILRA1	Cell_membrane
LILRA3	Extracellular
LILRA4	Cell_membrane
LILRB2	Cell_membrane
LILRB3	Cell_membrane
LILRB4	Cell_membrane
LILRB5	Cell_membrane
LIM2	Endoplasmic_reticulum
LIMA1	Nucleus
LIMCH1	Nucleus
LIMD1	Nucleus
LIMD2	Mitochondrion
LIMK2	Cytoplasm
LIMS1	Nucleus
LIMS2	Nucleus
LIMS4	Mitochondrion
LIN28A	Nucleus
LIN28B	Nucleus
LIN37	Nucleus
LIN52	Cytoplasm
LIN54	Nucleus
LIN7A	Nucleus
LIN7C	Cytoplasm
LINC00116	Mitochondrion
LINC00694	Cytoplasm
LINC01556	Nucleus
LINGO1	Cell_membrane
LINGO2	Cell_membrane
LINGO3	Cell_membrane
LINGO4	Cell_membrane
LINS1	Cytoplasm
LIPC	Extracellular
LIPE	Cytoplasm
LIPG	Extracellular
LIPH	Extracellular
LIPJ	Cytoplasm
LIPK	Extracellular
LIPN	Extracellular
LIPT1	Mitochondrion
LIPT2	Mitochondrion
LIX1	Cytoplasm
LIX1L	Cytoplasm
LKAAEAR1	Nucleus
LLGL1	Nucleus
LLPH	Nucleus
LMAN1	Endoplasmic_reticulum
LMAN1L	Cell_membrane
LMAN2	Cell_membrane
LMAN2L	Endoplasmic_reticulum
LMBR1L	Cell_membrane
LMBRD2	Endoplasmic_reticulum
LMCD1	Cytoplasm
LMF1	Endoplasmic_reticulum
LMF2	Endoplasmic_reticulum
LMLN	Cell_membrane
LMNA	Nucleus
LMNB1	Nucleus
LMNB2	Nucleus
LMNTD1	Nucleus
LMNTD2	Nucleus
LMO1	Nucleus
LMO3	Nucleus
LMO4	Nucleus
LMO7DN	Mitochondrion
LMOD1	Cytoplasm
LMOD3	Nucleus
LMTK2	Endoplasmic_reticulum
LMTK3	Cell_membrane
LMX1A	Nucleus
LMX1B	Nucleus
LNP1	Nucleus
LNPEP	Endoplasmic_reticulum
LNX2	Nucleus
LONP2	Peroxisome
LONRF1	Cytoplasm
LONRF2	Cytoplasm
LONRF3	Nucleus
LOR	Nucleus
LOX	Extracellular
LOXL1	Extracellular
LOXL2	Extracellular
LOXL4	Extracellular
LPAR1	Cell_membrane
LPAR2	Cell_membrane
LPAR3	Cell_membrane
LPAR4	Cell_membrane
LPAR5	Cell_membrane
LPAR6	Cell_membrane
LPCAT1	Endoplasmic_reticulum
LPCAT3	Endoplasmic_reticulum
LPCAT4	Endoplasmic_reticulum
LPGAT1	Endoplasmic_reticulum
LPIN1	Nucleus
LPIN2	Nucleus
LPIN3	Nucleus
LPL	Extracellular
LPO	Extracellular
LPP	Cytoplasm
LPXN	Nucleus
LRAT	Endoplasmic_reticulum
LRBA	Cytoplasm
LRCH2	Nucleus
LRCH4	Cell_membrane
LRCOL1	Extracellular
LRFN1	Cell_membrane
LRFN2	Cell_membrane
LRFN3	Cell_membrane
LRFN4	Cell_membrane
LRFN5	Cell_membrane
LRG1	Endoplasmic_reticulum
LRGUK	Cytoplasm
LRIF1	Nucleus
LRIG1	Cell_membrane
LRIG2	Cell_membrane
LRIG3	Cell_membrane
LRIT1	Cell_membrane
LRIT2	Cell_membrane
LRIT3	Cell_membrane
LRMDA	Cytoplasm
LRP10	Cell_membrane
LRP12	Cell_membrane
LRP1B	Cell_membrane
LRP2	Cell_membrane
LRP2BP	Cytoplasm
LRP3	Cell_membrane
LRP4	Cell_membrane
LRP5	Cell_membrane
LRP5L	Cytoplasm
LRP6	Cell_membrane
LRP8	Cell_membrane
LRPAP1	Endoplasmic_reticulum
LRPPRC	Mitochondrion
LRR1	Mitochondrion
LRRC10	Nucleus
LRRC10B	Nucleus
LRRC14	Mitochondrion
LRRC14B	Cytoplasm
LRRC15	Cell_membrane
LRRC18	Cytoplasm
LRRC19	Cell_membrane
LRRC2	Cytoplasm
LRRC20	Mitochondrion
LRRC23	Nucleus
LRRC24	Cell_membrane
LRRC25	Cell_membrane
LRRC29	Cytoplasm
LRRC3	Cell_membrane
LRRC30	Nucleus
LRRC31	Nucleus
LRRC32	Cell_membrane
LRRC36	Cytoplasm
LRRC37A	Cell_membrane
LRRC37A2	Cell_membrane
LRRC37A3	Cell_membrane
LRRC37B	Golgi_apparatus
LRRC38	Cell_membrane
LRRC39	Cytoplasm
LRRC3B	Cell_membrane
LRRC3C	Cell_membrane
LRRC4	Cell_membrane
LRRC40	Mitochondrion
LRRC41	Nucleus
LRRC42	Nucleus
LRRC45	Cytoplasm
LRRC46	Cytoplasm
LRRC47	Nucleus
LRRC4B	Cell_membrane
LRRC4C	Cell_membrane
LRRC52	Cell_membrane
LRRC53	Nucleus
LRRC56	Cytoplasm
LRRC57	Nucleus
LRRC58	Nucleus
LRRC59	Nucleus
LRRC61	Cytoplasm
LRRC66	Cell_membrane
LRRC69	Mitochondrion
LRRC70	Cell_membrane
LRRC72	Cytoplasm
LRRC73	Cytoplasm
LRRC74A	Cytoplasm
LRRC75B	Nucleus
LRRC8A	Cell_membrane
LRRC8B	Cell_membrane
LRRC8C	Endoplasmic_reticulum
LRRC8D	Endoplasmic_reticulum
LRRC8E	Cell_membrane
LRRC9	Cytoplasm
LRRCC1	Cytoplasm
LRRD1	Cytoplasm
LRRIQ1	Cytoplasm
LRRIQ3	Cytoplasm
LRRIQ4	Nucleus
LRRK1	Cytoplasm
LRRK2	Cytoplasm
LRRN1	Cell_membrane
LRRN2	Cell_membrane
LRRN3	Cell_membrane
LRRN4	Cell_membrane
LRRN4CL	Cell_membrane
LRRTM1	Cell_membrane
LRRTM2	Cell_membrane
LRRTM3	Cell_membrane
LRRTM4	Cell_membrane
LRSAM1	Cytoplasm
LRTM2	Cell_membrane
LRWD1	Cytoplasm
LSAMP	Cell_membrane
LSG1	Nucleus
LSM1	Cytoplasm
LSM10	Nucleus
LSM11	Nucleus
LSM12	Cytoplasm
LSM14A	Cytoplasm
LSM2	Cytoplasm
LSM3	Cytoplasm
LSM4	Nucleus
LSM5	Cytoplasm
LSM6	Mitochondrion
LSM7	Cytoplasm
LSM8	Lysosome/Vacuole
LSMEM2	Cell_membrane
LSP1	Cytoplasm
LSS	Endoplasmic_reticulum
LTA	Endoplasmic_reticulum
LTA4H	Mitochondrion
LTB4R	Cell_membrane
LTB4R2	Cell_membrane
LTBP1	Extracellular
LTBP2	Extracellular
LTBP3	Extracellular
LTBR	Cell_membrane
LTC4S	Endoplasmic_reticulum
LTN1	Cytoplasm
LTV1	Nucleus
LUC7L	Nucleus
LUC7L2	Nucleus
LUM	Extracellular
LURAP1	Cytoplasm
LUZP1	Cytoplasm
LUZP4	Nucleus
LXN	Cytoplasm
LY6D	Cell_membrane
LY6E	Cell_membrane
LY6G6C	Cell_membrane
LY6G6D	Cell_membrane
LY6G6F	Cell_membrane
LY6H	Cell_membrane
LY6L	Extracellular
LY75	Cell_membrane
LY86	Extracellular
LY9	Cell_membrane
LY96	Extracellular
LYG1	Extracellular
LYG2	Extracellular
LYL1	Nucleus
LYN	Cell_membrane
LYPD2	Extracellular
LYPD3	Cell_membrane
LYPD5	Cell_membrane
LYPD6B	Cell_membrane
LYPD8	Cell_membrane
LYPLA1	Cytoplasm
LYPLA2	Cytoplasm
LYPLAL1	Cytoplasm
LYRM1	Mitochondrion
LYRM2	Mitochondrion
LYRM4	Mitochondrion
LYRM7	Mitochondrion
LYRM9	Mitochondrion
LYSMD1	Nucleus
LYSMD4	Cell_membrane
LYVE1	Cell_membrane
LYZ	Extracellular
LYZL4	Extracellular
LYZL6	Extracellular
LZIC	Cytoplasm
LZTR1	Cytoplasm
LZTS1	Cytoplasm
LZTS2	Cytoplasm
LZTS3	Cytoplasm
M6PR	Cell_membrane
MAB21L1	Cytoplasm
MAB21L2	Cytoplasm
MAB21L3	Cytoplasm
MACC1	Cytoplasm
MACF1	Cytoplasm
MACROD1	Mitochondrion
MAD2L2	Nucleus
MADD	Cytoplasm
MAEA	Nucleus
MAF	Nucleus
MAF1	Nucleus
MAFA	Nucleus
MAFB	Nucleus
MAFF	Nucleus
MAFG	Nucleus
MAFK	Nucleus
MAG	Cell_membrane
MAGEA1	Cytoplasm
MAGEA10	Nucleus
MAGEA12	Cytoplasm
MAGEA2	Cytoplasm
MAGEA2B	Cytoplasm
MAGEA3	Cytoplasm
MAGEA4	Cytoplasm
MAGEA6	Cytoplasm
MAGEA8	Cell_membrane
MAGEA9	Cytoplasm
MAGEA9B	Cytoplasm
MAGEB1	Nucleus
MAGEB10	Nucleus
MAGEB16	Cytoplasm
MAGEB17	Nucleus
MAGEB18	Cytoplasm
MAGEB2	Nucleus
MAGEB3	Nucleus
MAGEB4	Nucleus
MAGEB5	Cytoplasm
MAGEB6	Nucleus
MAGEC2	Cytoplasm
MAGEC3	Cytoplasm
MAGED2	Nucleus
MAGED4	Nucleus
MAGED4B	Nucleus
MAGEE1	Cytoplasm
MAGEE2	Cytoplasm
MAGEF1	Nucleus
MAGEH1	Nucleus
MAGEL2	Cytoplasm
MAGI2	Cytoplasm
MAGOH	Cytoplasm
MAGOHB	Cytoplasm
MAJIN	Nucleus
MAK	Nucleus
MAK16	Nucleus
MAL2	Cell_membrane
MALL	Endoplasmic_reticulum
MALRD1	Cell_membrane
MALSU1	Mitochondrion
MALT1	Cytoplasm
MAML1	Nucleus
MAML2	Nucleus
MAML3	Nucleus
MAMLD1	Nucleus
MAMSTR	Cytoplasm
MAN1A2	Golgi_apparatus
MAN1B1	Endoplasmic_reticulum
MAN1C1	Golgi_apparatus
MAN2A1	Golgi_apparatus
MAN2A2	Golgi_apparatus
MAN2B1	Endoplasmic_reticulum
MAN2C1	Cytoplasm
MANBA	Extracellular
MANBAL	Cell_membrane
MANEA	Golgi_apparatus
MANEAL	Golgi_apparatus
MANSC1	Cell_membrane
MANSC4	Cell_membrane
MAOA	Peroxisome
MAP1A	Cytoplasm
MAP1B	Cytoplasm
MAP1LC3A	Nucleus
MAP1LC3B	Nucleus
MAP1LC3B2	Nucleus
MAP1LC3C	Nucleus
MAP1S	Cytoplasm
MAP2	Cytoplasm
MAP2K1	Cytoplasm
MAP2K2	Mitochondrion
MAP2K4	Cytoplasm
MAP2K5	Cytoplasm
MAP2K7	Cytoplasm
MAP3K1	Cytoplasm
MAP3K10	Cytoplasm
MAP3K11	Cytoplasm
MAP3K12	Cytoplasm
MAP3K14	Nucleus
MAP3K15	Cytoplasm
MAP3K2	Cytoplasm
MAP3K3	Cytoplasm
MAP3K4	Cytoplasm
MAP3K5	Cytoplasm
MAP3K6	Cytoplasm
MAP3K7	Cytoplasm
MAP3K8	Cytoplasm
MAP3K9	Cell_membrane
MAP4K1	Cytoplasm
MAP4K2	Cytoplasm
MAP4K3	Cytoplasm
MAP4K4	Cytoplasm
MAP6D1	Nucleus
MAP7	Cytoplasm
MAP7D2	Cytoplasm
MAP7D3	Nucleus
MAP9	Nucleus
MAPK1	Cytoplasm
MAPK10	Cytoplasm
MAPK11	Cytoplasm
MAPK12	Cytoplasm
MAPK13	Nucleus
MAPK14	Cytoplasm
MAPK15	Cytoplasm
MAPK1IP1L	Nucleus
MAPK3	Cytoplasm
MAPK4	Cytoplasm
MAPK6	Cytoplasm
MAPK8	Cytoplasm
MAPK8IP1	Cytoplasm
MAPK8IP2	Nucleus
MAPK8IP3	Cytoplasm
MAPK9	Cytoplasm
MAPKAP1	Nucleus
MAPKAPK3	Nucleus
MAPKAPK5	Cytoplasm
MAPKBP1	Cytoplasm
MAPRE1	Cytoplasm
MAPRE2	Cytoplasm
MAPRE3	Cytoplasm
MAPT	Cytoplasm
MARC2	Mitochondrion
MARCH1	Cell_membrane
MARCH10	Nucleus
MARCH4	Cell_membrane
MARCH5	Mitochondrion
MARCH7	Cytoplasm
MARCH8	Cell_membrane
MARCKS	Cytoplasm
MARCKSL1	Cytoplasm
MARK1	Cytoplasm
MARK2	Cytoplasm
MARK4	Cytoplasm
MARS	Cytoplasm
MARS2	Mitochondrion
MARVELD1	Endoplasmic_reticulum
MARVELD2	Cell_membrane
MAS1	Cell_membrane
MAS1L	Cell_membrane
MASP2	Extracellular
MAST1	Cytoplasm
MAST2	Cytoplasm
MAST3	Cytoplasm
MASTL	Cytoplasm
MAT1A	Cytoplasm
MAT2B	Cytoplasm
MATN1	Extracellular
MATN3	Extracellular
MATN4	Extracellular
MATR3	Nucleus
MAX	Nucleus
MAZ	Nucleus
MB	Cytoplasm
MB21D1	Cytoplasm
MB21D2	Cytoplasm
MBD1	Nucleus
MBD2	Nucleus
MBD3	Nucleus
MBD3L1	Nucleus
MBD3L2	Nucleus
MBD3L3	Nucleus
MBD3L4	Nucleus
MBD3L5	Nucleus
MBD4	Nucleus
MBD5	Nucleus
MBD6	Nucleus
MBL2	Extracellular
MBLAC1	Cytoplasm
MBLAC2	Cytoplasm
MBNL1	Nucleus
MBNL2	Nucleus
MBNL3	Nucleus
MBOAT1	Endoplasmic_reticulum
MBOAT2	Endoplasmic_reticulum
MBOAT4	Endoplasmic_reticulum
MBOAT7	Endoplasmic_reticulum
MBP	Nucleus
MBTPS1	Cell_membrane
MBTPS2	Endoplasmic_reticulum
MC1R	Cell_membrane
MC2R	Cell_membrane
MC3R	Cell_membrane
MC4R	Cell_membrane
MC5R	Cell_membrane
MCAT	Mitochondrion
MCC	Cytoplasm
MCCC1	Mitochondrion
MCCC2	Mitochondrion
MCCD1	Mitochondrion
MCEE	Mitochondrion
MCEMP1	Cell_membrane
MCF2	Cytoplasm
MCF2L	Cytoplasm
MCF2L2	Cytoplasm
MCHR1	Cell_membrane
MCHR2	Cell_membrane
MCIDAS	Nucleus
MCL1	Mitochondrion
MCM10	Nucleus
MCM2	Nucleus
MCM3	Nucleus
MCM3AP	Cytoplasm
MCM4	Nucleus
MCM5	Cytoplasm
MCM6	Cytoplasm
MCM7	Cytoplasm
MCM8	Cytoplasm
MCMDC2	Cytoplasm
MCOLN1	Cell_membrane
MCOLN2	Lysosome/Vacuole
MCOLN3	Lysosome/Vacuole
MCPH1	Nucleus
MCRIP1	Nucleus
MCRS1	Nucleus
MCTS1	Cytoplasm
MCU	Mitochondrion
MCUB	Mitochondrion
MDFI	Cytoplasm
MDGA2	Cell_membrane
MDH1	Cytoplasm
MDH1B	Cytoplasm
MDH2	Mitochondrion
MDK	Extracellular
MDN1	Nucleus
MDP1	Cytoplasm
MDS2	Mitochondrion
ME1	Cytoplasm
ME2	Mitochondrion
ME3	Mitochondrion
MEA1	Cytoplasm
MEAF6	Nucleus
MECOM	Nucleus
MECP2	Nucleus
MED1	Cytoplasm
MED10	Cytoplasm
MED11	Cytoplasm
MED12	Cytoplasm
MED13	Nucleus
MED13L	Cytoplasm
MED14	Cytoplasm
MED15	Nucleus
MED16	Cytoplasm
MED17	Nucleus
MED18	Cytoplasm
MED20	Cytoplasm
MED21	Cytoplasm
MED22	Nucleus
MED23	Cytoplasm
MED24	Nucleus
MED25	Nucleus
MED26	Nucleus
MED28	Nucleus
MED29	Nucleus
MED30	Cytoplasm
MED31	Mitochondrion
MED4	Nucleus
MED6	Nucleus
MED7	Nucleus
MED8	Nucleus
MED9	Nucleus
MEDAG	Cytoplasm
MEF2B	Nucleus
MEF2C	Nucleus
MEF2D	Nucleus
MEFV	Cytoplasm
MEGF6	Extracellular
MEGF8	Cell_membrane
MEGF9	Cell_membrane
MEI4	Endoplasmic_reticulum
MEIG1	Cytoplasm
MEIKIN	Nucleus
MEIOB	Cytoplasm
MEIOC	Cytoplasm
MEIS1	Nucleus
MEIS2	Nucleus
MEIS3	Nucleus
MELK	Nucleus
MEMO1	Mitochondrion
MEN1	Nucleus
MEOX1	Nucleus
MEOX2	Nucleus
MEP1A	Cell_membrane
MEP1B	Cell_membrane
MEPCE	Nucleus
MERTK	Cell_membrane
MESP1	Nucleus
MESP2	Nucleus
MEST	Endoplasmic_reticulum
METAP1	Cytoplasm
METAP1D	Mitochondrion
METAP2	Cytoplasm
METRN	Extracellular
METTL1	Nucleus
METTL11B	Cytoplasm
METTL12	Mitochondrion
METTL14	Nucleus
METTL15	Mitochondrion
METTL17	Mitochondrion
METTL18	Cytoplasm
METTL21C	Cytoplasm
METTL24	Golgi_apparatus
METTL25	Nucleus
METTL27	Peroxisome
METTL2A	Cytoplasm
METTL2B	Cytoplasm
METTL3	Nucleus
METTL5	Cytoplasm
METTL6	Nucleus
METTL7A	Endoplasmic_reticulum
METTL7B	Endoplasmic_reticulum
METTL9	Endoplasmic_reticulum
MEX3A	Cytoplasm
MEX3B	Nucleus
MEX3C	Nucleus
MEX3D	Cytoplasm
MFAP1	Nucleus
MFAP2	Extracellular
MFAP5	Extracellular
MFF	Endoplasmic_reticulum
MFHAS1	Cytoplasm
MFN2	Mitochondrion
MFNG	Golgi_apparatus
MFRP	Cell_membrane
MFSD10	Cell_membrane
MFSD11	Lysosome/Vacuole
MFSD12	Cell_membrane
MFSD13A	Cell_membrane
MFSD14A	Cell_membrane
MFSD14B	Cell_membrane
MFSD14C	Endoplasmic_reticulum
MFSD2A	Cell_membrane
MFSD2B	Cell_membrane
MFSD3	Endoplasmic_reticulum
MFSD4A	Cell_membrane
MFSD4B	Cell_membrane
MFSD5	Cell_membrane
MFSD6	Cell_membrane
MFSD6L	Cell_membrane
MFSD7	Cell_membrane
MFSD9	Cell_membrane
MGAM	Golgi_apparatus
MGARP	Mitochondrion
MGAT1	Golgi_apparatus
MGAT2	Golgi_apparatus
MGAT3	Golgi_apparatus
MGAT4C	Golgi_apparatus
MGAT4D	Golgi_apparatus
MGAT5	Golgi_apparatus
MGAT5B	Golgi_apparatus
MGEA5	Cytoplasm
MGME1	Mitochondrion
MGP	Extracellular
MGST1	Mitochondrion
MGST3	Cell_membrane
MIA	Extracellular
MIB1	Cytoplasm
MICA	Cell_membrane
MICAL2	Nucleus
MICALCL	Cytoplasm
MICALL1	Cytoplasm
MICU2	Mitochondrion
MICU3	Mitochondrion
MID1IP1	Cytoplasm
MID2	Cytoplasm
MIDN	Nucleus
MIEF1	Mitochondrion
MIEF2	Mitochondrion
MIEN1	Cytoplasm
MIER2	Nucleus
MIER3	Nucleus
MIF	Extracellular
MIF4GD	Cytoplasm
MIGA1	Mitochondrion
MIGA2	Mitochondrion
MIIP	Nucleus
MILR1	Cell_membrane
MINDY2	Cytoplasm
MINDY3	Cytoplasm
MINDY4	Cytoplasm
MINK1	Cytoplasm
MINOS1	Mitochondrion
MIOS	Cytoplasm
MIP	Cell_membrane
MIPEP	Mitochondrion
MIS12	Nucleus
MIS18A	Nucleus
MIS18BP1	Nucleus
MISP	Cytoplasm
MISP3	Cytoplasm
MITD1	Nucleus
MITF	Nucleus
MIXL1	Nucleus
MKI67	Nucleus
MKKS	Cytoplasm
MKL1	Nucleus
MKLN1	Cytoplasm
MKNK1	Nucleus
MKNK2	Nucleus
MKRN1	Nucleus
MKRN2	Nucleus
MKRN2OS	Extracellular
MKRN3	Cytoplasm
MKX	Nucleus
MLANA	Cell_membrane
MLC1	Cell_membrane
MLEC	Endoplasmic_reticulum
MLF1	Nucleus
MLF2	Nucleus
MLH1	Nucleus
MLH3	Cytoplasm
MLIP	Cytoplasm
MLLT1	Nucleus
MLLT11	Cytoplasm
MLLT3	Nucleus
MLN	Extracellular
MLNR	Cell_membrane
MLPH	Nucleus
MLST8	Cytoplasm
MLX	Nucleus
MMAA	Mitochondrion
MMAB	Mitochondrion
MMACHC	Cytoplasm
MMADHC	Mitochondrion
MMD	Endoplasmic_reticulum
MMD2	Endoplasmic_reticulum
MME	Cell_membrane
MMP1	Extracellular
MMP10	Extracellular
MMP11	Mitochondrion
MMP12	Extracellular
MMP13	Extracellular
MMP14	Cell_membrane
MMP15	Cell_membrane
MMP17	Cell_membrane
MMP19	Extracellular
MMP20	Extracellular
MMP21	Extracellular
MMP24	Cell_membrane
MMP25	Cell_membrane
MMP26	Extracellular
MMP27	Endoplasmic_reticulum
MMP28	Extracellular
MMP3	Extracellular
MMP7	Extracellular
MMP8	Extracellular
MMP9	Extracellular
MMRN1	Extracellular
MMRN2	Mitochondrion
MMS19	Cytoplasm
MMS22L	Cytoplasm
MN1	Cytoplasm
MNAT1	Nucleus
MND1	Nucleus
MNDA	Nucleus
MNS1	Nucleus
MNT	Nucleus
MNX1	Nucleus
MOAP1	Cytoplasm
MOB1A	Cytoplasm
MOB1B	Cytoplasm
MOB3A	Cytoplasm
MOB3B	Nucleus
MOB3C	Mitochondrion
MOB4	Nucleus
MOCOS	Cytoplasm
MOCS2	Cytoplasm
MOCS3	Cytoplasm
MOGAT1	Endoplasmic_reticulum
MON2	Cytoplasm
MORC1	Nucleus
MORC2	Cytoplasm
MORC3	Cytoplasm
MORC4	Cytoplasm
MORF4L1	Nucleus
MORF4L2	Nucleus
MORN1	Cytoplasm
MORN2	Mitochondrion
MORN5	Cytoplasm
MOSPD2	Endoplasmic_reticulum
MPC1	Mitochondrion
MPC1L	Mitochondrion
MPC2	Mitochondrion
MPDZ	Cytoplasm
MPEG1	Cell_membrane
MPG	Nucleus
MPHOSPH10	Nucleus
MPHOSPH6	Nucleus
MPHOSPH8	Nucleus
MPHOSPH9	Cytoplasm
MPI	Cytoplasm
MPL	Cell_membrane
MPLKIP	Nucleus
MPND	Nucleus
MPP1	Cytoplasm
MPP3	Cytoplasm
MPP4	Cytoplasm
MPP5	Nucleus
MPP6	Cytoplasm
MPP7	Cytoplasm
MPPE1	Golgi_apparatus
MPRIP	Cytoplasm
MPV17	Mitochondrion
MPV17L	Mitochondrion
MPV17L2	Mitochondrion
MPZ	Cell_membrane
MPZL2	Cell_membrane
MRAP2	Golgi_apparatus
MRAS	Cell_membrane
MRC2	Cell_membrane
MRE11	Nucleus
MREG	Cell_membrane
MRFAP1	Nucleus
MRFAP1L1	Nucleus
MRGBP	Nucleus
MRGPRD	Cell_membrane
MRGPRE	Cell_membrane
MRGPRF	Cell_membrane
MRGPRG	Cell_membrane
MRGPRX1	Cell_membrane
MRGPRX2	Cell_membrane
MRGPRX3	Cell_membrane
MRGPRX4	Cell_membrane
MRI1	Peroxisome
MRLN	Golgi_apparatus
MRM2	Mitochondrion
MRM3	Mitochondrion
MRNIP	Nucleus
MRO	Nucleus
MROH1	Cytoplasm
MROH2A	Cytoplasm
MROH2B	Cytoplasm
MROH6	Cytoplasm
MROH7	Cytoplasm
MROH9	Cytoplasm
MRPL1	Mitochondrion
MRPL10	Mitochondrion
MRPL11	Mitochondrion
MRPL12	Mitochondrion
MRPL13	Mitochondrion
MRPL14	Mitochondrion
MRPL15	Mitochondrion
MRPL16	Mitochondrion
MRPL17	Mitochondrion
MRPL18	Mitochondrion
MRPL19	Mitochondrion
MRPL2	Mitochondrion
MRPL20	Mitochondrion
MRPL21	Cytoplasm
MRPL23	Mitochondrion
MRPL24	Mitochondrion
MRPL27	Mitochondrion
MRPL28	Mitochondrion
MRPL3	Mitochondrion
MRPL30	Mitochondrion
MRPL32	Mitochondrion
MRPL33	Mitochondrion
MRPL34	Mitochondrion
MRPL35	Mitochondrion
MRPL36	Mitochondrion
MRPL37	Mitochondrion
MRPL39	Mitochondrion
MRPL4	Mitochondrion
MRPL40	Mitochondrion
MRPL41	Mitochondrion
MRPL42	Mitochondrion
MRPL43	Mitochondrion
MRPL44	Mitochondrion
MRPL45	Mitochondrion
MRPL46	Mitochondrion
MRPL48	Mitochondrion
MRPL49	Mitochondrion
MRPL50	Mitochondrion
MRPL51	Mitochondrion
MRPL53	Mitochondrion
MRPL54	Mitochondrion
MRPL55	Mitochondrion
MRPL57	Mitochondrion
MRPL58	Mitochondrion
MRPL9	Mitochondrion
MRPS10	Mitochondrion
MRPS11	Mitochondrion
MRPS12	Mitochondrion
MRPS14	Mitochondrion
MRPS15	Mitochondrion
MRPS16	Mitochondrion
MRPS17	Mitochondrion
MRPS18A	Mitochondrion
MRPS18B	Mitochondrion
MRPS18C	Mitochondrion
MRPS2	Mitochondrion
MRPS22	Mitochondrion
MRPS23	Mitochondrion
MRPS24	Mitochondrion
MRPS25	Mitochondrion
MRPS26	Mitochondrion
MRPS27	Mitochondrion
MRPS28	Mitochondrion
MRPS30	Mitochondrion
MRPS31	Mitochondrion
MRPS33	Mitochondrion
MRPS34	Mitochondrion
MRPS35	Mitochondrion
MRPS36	Mitochondrion
MRPS5	Mitochondrion
MRPS6	Mitochondrion
MRPS7	Mitochondrion
MRPS9	Mitochondrion
MRS2	Mitochondrion
MRTO4	Nucleus
MS4A10	Endoplasmic_reticulum
MS4A12	Cell_membrane
MS4A15	Cell_membrane
MS4A2	Lysosome/Vacuole
MS4A3	Cell_membrane
MS4A4A	Cell_membrane
MS4A5	Cell_membrane
MS4A6E	Cell_membrane
MS4A7	Cell_membrane
MS4A8	Cell_membrane
MSANTD1	Nucleus
MSANTD3	Nucleus
MSANTD4	Nucleus
MSC	Nucleus
MSGN1	Nucleus
MSH2	Cytoplasm
MSH3	Nucleus
MSH4	Cytoplasm
MSH5	Cytoplasm
MSI1	Cytoplasm
MSI2	Cytoplasm
MSL1	Nucleus
MSL2	Nucleus
MSL3	Nucleus
MSLNL	Cell_membrane
MSMB	Extracellular
MSMO1	Endoplasmic_reticulum
MSMP	Extracellular
MSN	Cytoplasm
MSR1	Cell_membrane
MSRB2	Mitochondrion
MSTN	Extracellular
MSX1	Nucleus
MSX2	Nucleus
MT-ATP6	Endoplasmic_reticulum
MT-ATP8	Extracellular
MT-CO1	Cell_membrane
MT-CO2	Endoplasmic_reticulum
MT-CO3	Endoplasmic_reticulum
MT-CYB	Endoplasmic_reticulum
MT-ND1	Endoplasmic_reticulum
MT-ND2	Endoplasmic_reticulum
MT-ND3	Endoplasmic_reticulum
MT-ND4	Endoplasmic_reticulum
MT-ND4L	Endoplasmic_reticulum
MT-ND5	Lysosome/Vacuole
MT-ND6	Lysosome/Vacuole
MT1A	Extracellular
MT1B	Extracellular
MT1E	Extracellular
MT1F	Extracellular
MT1G	Extracellular
MT1H	Extracellular
MT1HL1	Extracellular
MT1M	Extracellular
MT1X	Extracellular
MT2A	Extracellular
MT3	Extracellular
MT4	Extracellular
MTA2	Nucleus
MTA3	Nucleus
MTAP	Cytoplasm
MTBP	Cytoplasm
MTCH1	Mitochondrion
MTCH2	Mitochondrion
MTCL1	Cytoplasm
MTCP1	Cytoplasm
MTDH	Endoplasmic_reticulum
MTERF1	Mitochondrion
MTERF2	Mitochondrion
MTERF4	Mitochondrion
MTF1	Nucleus
MTFMT	Mitochondrion
MTFR1	Mitochondrion
MTFR1L	Cytoplasm
MTG1	Mitochondrion
MTG2	Mitochondrion
MTHFD1L	Mitochondrion
MTHFR	Cytoplasm
MTHFS	Nucleus
MTHFSD	Cytoplasm
MTIF2	Mitochondrion
MTIF3	Mitochondrion
MTM1	Cytoplasm
MTMR1	Cytoplasm
MTMR12	Cytoplasm
MTMR14	Cytoplasm
MTMR2	Cytoplasm
MTMR3	Cytoplasm
MTMR4	Cytoplasm
MTMR6	Cytoplasm
MTMR7	Cytoplasm
MTMR8	Cytoplasm
MTMR9	Cytoplasm
MTNR1A	Cell_membrane
MTNR1B	Cell_membrane
MTOR	Cytoplasm
MTPN	Cytoplasm
MTR	Cytoplasm
MTRNR2L1	Extracellular
MTRNR2L10	Extracellular
MTRNR2L11	Extracellular
MTRNR2L13	Extracellular
MTRNR2L3	Mitochondrion
MTRNR2L4	Extracellular
MTRNR2L5	Extracellular
MTRNR2L6	Extracellular
MTRNR2L7	Extracellular
MTRNR2L8	Extracellular
MTRR	Cytoplasm
MTSS1	Cytoplasm
MTSS1L	Cytoplasm
MTX3	Cytoplasm
MUC12	Cell_membrane
MUC13	Cell_membrane
MUC16	Cytoplasm
MUC21	Cell_membrane
MUC22	Cell_membrane
MUC5AC	Extracellular
